index,stop_name,stop_lat,stop_lon
0,S Blankenfelde (TF) Bhf,52.337628,13.415908
1,S Mahlow,52.360164,13.408775
2,"Berlin, Goltzstr./Lichtenrader Damm",52.387122,13.409121
3,"Berlin, Mariendorfer Damm/Buckower Chaussee",52.414567,13.401117
4,U Alt-Mariendorf  ,52.438965,13.387611
5,S Priesterweg ,52.459239,13.356028
6,S Charlottenburg Bhf ,52.504805,13.303843
7,S Westkreuz ,52.501152,13.283036
8,S Olympiastadion ,52.511135,13.241111
9,S Teltow Stadt,52.397147,13.275975
10,S Lichterfelde Süd ,52.409956,13.308662
11,S Osdorfer Str. ,52.418373,13.313865
12,S Lichterfelde Ost Bhf ,52.429098,13.328078
13,S Lankwitz ,52.439034,13.34276
14,S Südende ,52.448899,13.354077
15,S Südkreuz Bhf ,52.475468,13.365579
16,S+U Yorckstr. S2 S25 S26 U7 ,52.492323,13.372226
17,S Anhalter Bahnhof ,52.504538,13.382077
18,S+U Potsdamer Platz Bhf ,52.50934,13.376454
19,S+U Brandenburger Tor ,52.516511,13.381937
20,S+U Friedrichstr. Bhf ,52.52027,13.387153
21,S Oranienburger Str. ,52.525161,13.393068
22,S Nordbahnhof ,52.531672,13.388798
23,S Humboldthain ,52.544738,13.37873
24,S+U Gesundbrunnen Bhf ,52.548637,13.388372
25,S Bornholmer Str. ,52.554763,13.397841
26,S Wollankstr. ,52.564974,13.39315
27,S Schönholz ,52.571901,13.380242
28,S Wilhelmsruh ,52.581588,13.363284
29,S+U Wittenau ,52.596392,13.335481
30,S Waidmannslust ,52.606814,13.320549
31,S Köpenick ,52.458692,13.579543
32,S Wuhlheide ,52.469058,13.553527
33,S Karlshorst ,52.481038,13.525981
34,S Betriebsbahnhof Rummelsburg ,52.493957,13.497509
35,S Rummelsburg ,52.501213,13.478699
36,S Ostkreuz Bhf ,52.502851,13.469093
37,S+U Warschauer Str. ,52.505765,13.449159
38,S Ostbahnhof ,52.510001,13.435747
39,S Ahrensfelde Bhf ,52.571564,13.566118
40,S Mehrower Allee ,52.557816,13.554392
41,S Raoul-Wallenberg-Str. ,52.550749,13.548392
42,S Marzahn ,52.543272,13.541524
43,S Poelchaustr. ,52.534751,13.536008
44,S Springpfuhl ,52.525806,13.536904
45,S Friedrichsfelde Ost ,52.513747,13.520043
46,S+U Lichtenberg Bhf ,52.510754,13.498228
